istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
1090,1101,3.4243359924128747,3.4588935116023625,4.128090938164481e-06,2.8171028231612546e-09,5.369951594502709e-09,0.034557519189487795,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1127,1139,3.540574920595697,3.5782740324387747,3.965839612781201e-06,2.9011342419130113e-09,5.416199488905704e-09,0.03769911184307784,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1221,1239,3.8358846300331377,3.892433297797754,1.558155470393798e-06,3.537625724988397e-09,1.558358775355373e-09,0.05654866776461631,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1264,1278,3.970973114137499,4.0149554112877555,1.6582829757047788e-05,2.39004133860002e-09,3.140153648217847e-08,0.04398229715025659,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1417,1428,4.451636790136737,4.486194309326224,2.336552512058718e-06,2.724624289787609e-09,3.635182377337287e-09,0.03455751918948735,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1479,1487,4.646415534659305,4.671548275888022,6.931440039264021e-07,2.619820612339626e-09,1.001265070854629e-09,0.02513274122871767,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1570,1578,4.932300466135976,4.957433207364693,5.964355582206409e-07,2.277819705860076e-09,1.1919452092001848e-09,0.02513274122871767,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1686,1694,5.296725213952391,5.32185795518111,1.0939829928900948e-06,2.402469550283226e-09,1.9852639532302874e-09,0.025132741228718558,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1701,1710,5.343849103756239,5.372123437638547,7.261738529665045e-07,2.3607118140002237e-09,1.3890293359963835e-09,0.028274333882308156,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1846,1854,5.799380038526759,5.8245127797554765,1.0802838396759647e-06,2.318223531637715e-09,2.12046336045546e-09,0.02513274122871767,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
